usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed
2026-06-25,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_no_cache,3.48,3.48,token,global,
2026-06-25,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,output,13.64,13.64,token,global,
2026-06-28,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_no_cache,0.04,0.04,token,not_available,
2026-06-28,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,output,0.18,0.18,token,not_available,
2026-06-28,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,6.62,6.62,token,global,
2026-06-28,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,2.28,2.28,token,global,
2026-06-28,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_no_cache,0.11,0.11,token,global,
2026-06-28,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,output,0.78,0.78,token,global,
2026-07-02,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_no_cache,0.17,0.17,token,not_available,
2026-07-02,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,output,1.11,1.11,token,not_available,
2026-07-02,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,0.96,0.96,token,global,
2026-07-02,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,5.24,5.24,token,global,
2026-07-02,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_no_cache,0.50,0.50,token,global,
2026-07-02,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,output,5.52,5.52,token,global,
2026-07-03,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_no_cache,0.07,0.07,token,not_available,
2026-07-03,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,output,0.69,0.69,token,not_available,
2026-07-03,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,0.75,0.75,token,global,
2026-07-03,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,8.48,8.48,token,global,
2026-07-03,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_no_cache,0.22,0.22,token,global,
2026-07-03,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,output,2.96,2.96,token,global,
